Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Alex,1,L. Jackson QB - BAL ,14.60,J. Jacobs RB - GB IA ,23.20,D. Achane RB - MIA IA ,18.70,T. McLaurin WR - WAS ,15.90,J. Jefferson WR - MIN ,4.20,T. McBride TE - ARI ,37.40,T. Henderson RB - NE ,30.10,C. Boswell K - PIT ,4.00,49ers DEF ,0.00,J. Meyers WR - JAX ,12.10,J. Love QB - GB ,13.94,K. Shakir WR - BUF ,11.50,B. Knight RB - ARI IR ,-0.20,B. Thomas WR - JAX ,17.10,D. Neal RB - NO IR ,10.20,M. Evans WR - TB ,19.20,148.10,Luke,133.86
Joshua,9,M. Stafford QB - LAR ,20.92,S. Barkley RB - PHI ,17.20,Q. Judkins RB - CLE IR View News ,4.70,J. Addison WR - MIN ,8.60,E. Egbuka WR - TB ,10.40,D. Kincaid TE - BUF ,6.40,K. Walker RB - SEA ,2.90,C. Dicker K - LAC ,10.00,Dolphins DEF ,2.00,D. Moore WR - CHI ,22.90,J. Jeudy WR - CLE ,4.20,C. Rodriguez RB - WAS ,0.00,B. Nix QB - DEN ,29.08,T. Johnson TE - NYG IA ,10.20,O. Gadsden TE - LAC ,10.10,J. Dobbins RB - DEN IR ,0.00,83.12,Todd,121.20
Justin,4,J. Dart QB - NYG ,22.14,J. Taylor RB - IND ,13.10,K. Williams RB - LAR ,21.80,A. Brown WR - PHI ,12.10,J. Williams WR - DET ,26.40,T. Kelce TE - KC ,14.00,D. Metcalf WR - PIT SUS ,14.50,C. McLaughlin K - TB ,10.00,Seahawks DEF ,4.00,K. Hunt RB - KC ,3.00,M. Pittman WR - IND ,5.60,J. Johnson TE - NO ,7.00,K. Gainwell RB - PIT ,19.60,X. Worthy WR - KC IA ,5.50,G. Wilson WR - NYJ IR ,0.00,-,-,138.04,Aiden,106.26
Luke,7,D. Prescott QB - DAL ,11.96,J. Cook RB - BUF ,31.10,A. Jeanty RB - LV ,8.20,C. Lamb WR - DAL ,17.10,P. Nacua WR - LAR ,27.90,B. Bowers TE - LV IR ,8.80,Z. Flowers WR - BAL ,15.80,C. Little K - JAX ,12.00,Packers DEF ,1.00,C. Godwin WR - TB ,14.00,T. Higgins WR - CIN ,0.00,K. Pitts TE - ATL ,45.60,Q. Johnston WR - LAC ,0.00,C. Williams QB - CHI ,18.98,K. Vidal RB - LAC ,5.80,T. Benson RB - ARI IR ,0.00,133.86,Alex,148.10
Matthew,6,B. Mayfield QB - TB ,19.18,D. Henry RB - BAL ,10.00,C. McCaffrey RB - SF ,15.70,J. Chase WR - CIN ,23.20,R. Rice WR - KC IR ,12.10,B. Strange TE - JAX ,3.60,A. St. Brown WR - DET ,41.40,E. McPherson K - CIN ,0.00,Bears DEF ,18.00,H. Henry TE - NE ,2.80,T. Etienne RB - JAX ,31.50,T. Franklin WR - DEN ,20.80,T. Tracy RB - NYG ,24.70,J. Daniels QB - WAS IA ,0.00,Rams DEF ,0.00,S. LaPorta TE - DET IR ,0.00,143.18,Sean,124.82
Aiden,8,P. Mahomes QB - KC IR ,13.06,D. Montgomery RB - DET ,9.20,R. Dowdle RB - CAR ,12.40,J. Waddle WR - MIA IA ,4.60,W. Robinson WR - NYG IR ,16.40,D. Goedert TE - PHI IA ,25.00,K. Allen WR - LAC ,8.60,J. Bates K - DET ,10.00,Broncos DEF ,7.00,J. Goff QB - DET ,25.52,R. White RB - TB ,3.60,J. Downs WR - IND ,10.30,T. Tucker WR - LV ,0.00,M. Harrison WR - ARI IR ,0.00,K. Monangai RB - CHI ,3.30,-,-,106.26,Justin,138.04
Howard,10,D. Maye QB - NE ,20.50,B. Hall RB - NYJ IA ,5.70,R. Harvey RB - DEN ,10.50,D. Adams WR - LAR IA ,11.10,S. Diggs WR - NE ,5.60,T. Warren TE - IND ,4.90,T. Pollard RB - TEN ,18.20,T. Loop K - BAL ,6.00,Chiefs DEF ,7.00,C. Kupp WR - SEA ,9.60,M. Andrews TE - BAL ,3.80,R. Doubs WR - GB ,5.60,Z. Charbonnet RB - SEA ,3.10,S. Sanders QB - CLE View News ,3.48,Patriots DEF ,-2.00,-,-,89.50,Ulises,142.00
Sean,3,J. Allen QB - BUF ,24.52,J. Gibbs RB - DET ,9.80,B. Irving RB - TB ,8.10,G. Pickens WR - DAL View News ,6.30,T. McMillan WR - CAR ,4.50,G. Kittle TE - SF ,22.80,W. Marks RB - HOU ,10.80,J. Myers K - SEA ,22.00,Eagles DEF ,16.00,D. London WR - ATL ,0.00,J. Ferguson TE - DAL ,3.60,C. Watson WR - GB ,5.90,C. Olave WR - NO IA ,20.50,J. Warren RB - PIT ,7.80,Texans DEF ,7.00,-,-,124.82,Matthew,143.18
Todd,5,J. Burrow QB - CIN ,5.50,C. Brown RB - CIN ,16.00,O. Hampton RB - LAC IA ,7.50,N. Collins WR - HOU IA ,23.50,M. Wilson WR - ARI ,16.40,H. Fannin TE - CLE IA ,12.00,J. Jennings WR - SF ,18.70,B. Aubrey K - DAL ,14.60,Steelers DEF ,7.00,J. Brissett QB - ARI ,20.56,A. Jones RB - MIN IA ,9.50,C. Sutton WR - DEN ,24.30,J. Hurts QB - PHI ,22.90,L. McConkey WR - LAC ,4.00,T. Johnson WR - TB ,0.00,-,-,121.20,Joshua,83.12
Ulises,2,B. Purdy QB - SF Q ,26.20,J. Williams RB - DAL IR ,15.10,B. Robinson RB - ATL ,29.50,D. Samuel WR - WAS ,7.30,J. Smith-Njigba WR - SEA ,18.30,D. Schultz TE - HOU ,21.60,D. Smith WR - PHI ,7.00,H. Butker K - KC ,7.00,Jaguars DEF ,10.00,D. Waller TE - MIA IR ,25.60,D. Swift RB - CHI ,22.60,J. Herbert QB - LAC IA ,10.40,R. Stevenson RB - NE ,10.70,T. Allgeier RB - ATL ,1.80,J. Mason RB - MIN ,2.90,-,-,142.00,Howard,89.50
